Datum;Last;Erzeugung
2.1.22 14:30;302.274;88.585
2.1.22 14:45;284.500;88.925
2.1.22 15:00;289.947;93.834
2.1.22 15:15;307.341;93.233
2.1.22 15:30;318.027;93.121
2.1.22 15:45;318.345;93.843
2.1.22 16:00;301.412;93.530
2.1.22 16:15;321.107;93.800
2.1.22 16:30;324.586;93.989
2.1.22 16:45;317.738;94.707
2.1.22 17:00;309.070;98.011
2.1.22 17:15;321.401;97.910
2.1.22 17:30;328.558;99.610
2.1.22 17:45;330.483;99.997
2.1.22 18:00;309.782;96.771
2.1.22 18:15;307.955;97.430
2.1.22 18:30;326.261;97.747
2.1.22 18:45;326.725;98.750
2.1.22 19:00;323.242;98.297
2.1.22 19:15;303.734;97.390
2.1.22 19:30;310.598;96.411
2.1.22 19:45;318.973;96.790
2.1.22 20:00;312.946;95.169
2.1.22 20:15;293.871;94.038
2.1.22 20:30;299.220;91.793
2.1.22 20:45;305.592;88.328
2.1.22 21:00;302.282;85.202
2.1.22 21:15;284.782;84.148
2.1.22 21:30;288.588;83.004
2.1.22 21:45;297.065;83.746
2.1.22 22:00;294.530;84.307
2.1.22 22:15;276.694;82.049
2.1.22 22:30;278.858;80.490
2.1.22 22:45;287.172;79.293
2.1.22 23:00;281.894;75.818
2.1.22 23:15;264.109;74.808
2.1.22 23:30;262.303;74.241
2.1.22 23:45;268.197;73.096
3.1.22 0:00;271.681;71.774
3.1.22 0:15;256.782;70.556
3.1.22 0:30;241.075;68.883
3.1.22 0:45;248.001;66.105
3.1.22 1:00;256.387;65.773
3.1.22 1:15;254.656;67.454
3.1.22 1:30;232.487;68.709
3.1.22 1:45;242.619;68.018
3.1.22 2:00;248.904;72.277
3.1.22 2:15;243.774;74.558
3.1.22 2:30;226.554;76.424
3.1.22 2:45;242.339;76.069
3.1.22 3:00;246.062;76.579
3.1.22 3:15;239.116;78.022
3.1.22 3:30;232.204;78.824
3.1.22 3:45;239.065;79.882
3.1.22 4:00;244.700;82.311
3.1.22 4:15;239.619;83.403
3.1.22 4:30;236.784;84.696
3.1.22 4:45;247.309;85.498
3.1.22 5:00;259.018;85.927
3.1.22 5:15;263.593;85.300
3.1.22 5:30;248.071;84.826
3.1.22 5:45;250.941;84.369
3.1.22 6:00;248.013;84.491
3.1.22 6:15;277.271;86.849
3.1.22 6:30;294.741;88.194
3.1.22 6:45;300.143;89.631
3.1.22 7:00;291.647;91.189
3.1.22 7:15;309.911;91.689
3.1.22 7:30;318.925;93.880
3.1.22 7:45;321.447;96.504
3.1.22 8:00;312.429;98.603
3.1.22 8:15;314.372;100.692
3.1.22 8:30;330.042;102.769
3.1.22 8:45;319.850;104.822
3.1.22 9:00;318.402;104.070
3.1.22 9:15;333.319;103.205
3.1.22 9:30;340.470;102.563
3.1.22 9:45;330.476;101.080
3.1.22 10:00;340.955;98.233
3.1.22 10:15;348.482;96.025
3.1.22 10:30;355.447;94.963
3.1.22 10:45;342.271;95.865
3.1.22 11:00;330.692;94.661
3.1.22 11:15;329.888;98.422
3.1.22 11:30;334.064;102.894
3.1.22 11:45;344.163;101.668
3.1.22 12:00;359.205;100.590
3.1.22 12:15;363.501;101.837
3.1.22 12:30;348.781;102.016
3.1.22 12:45;337.692;102.709
3.1.22 13:00;335.432;103.425
3.1.22 13:15;336.341;103.768
3.1.22 13:30;332.466;102.045
3.1.22 13:45;347.891;103.217
3.1.22 14:00;356.192;103.556
3.1.22 14:15;354.626;102.956
3.1.22 14:30;345.520;103.891
3.1.22 14:45;334.517;103.196
3.1.22 15:00;353.753;102.367
3.1.22 15:15;356.007;103.343
3.1.22 15:30;341.820;102.462
3.1.22 15:45;323.484;103.578
3.1.22 16:00;341.348;110.416
3.1.22 16:15;346.643;110.932
3.1.22 16:30;332.041;111.512
3.1.22 16:45;334.489;112.085
3.1.22 17:00;337.283;114.756
3.1.22 17:15;315.433;117.981
3.1.22 17:30;342.846;117.427
3.1.22 17:45;338.359;115.352
3.1.22 18:00;330.138;110.510
3.1.22 18:15;330.622;114.106
3.1.22 18:30;348.389;112.267
3.1.22 18:45;351.311;114.414
3.1.22 19:00;334.373;114.818
3.1.22 19:15;343.638;114.201
3.1.22 19:30;343.599;113.460
3.1.22 19:45;351.070;112.857
3.1.22 20:00;322.440;113.996
3.1.22 20:15;329.473;113.499
3.1.22 20:30;322.457;114.738
3.1.22 20:45;321.991;115.801
3.1.22 21:00;315.734;115.686
3.1.22 21:15;301.084;116.249
3.1.22 21:30;296.901;113.228
3.1.22 21:45;300.884;113.165
